Date,Canada,,,Chile,,,Mexico,,,Taiwan China,,,Hong Kong China,,,Japan,,,South Korea,,,Macao China,,,Maldives,,,Cambodia,,,Indonesia,,,Singapore,,,New Zealand,,,USA,,,Thailand,,,Turkey,,,Australia,,,Hawaii,,,Austria,,,Czech,,,,,,,,,,,,,,,,,,,,,,,,
2001M01,,,,,,,,,,,,,370531,,,35000,,,42890,,,230311,,,1023,,,,,,,,,,,,,,,21941,,,90686,,,2077,,,21470,,,2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M02,,,,,,,,,,,,,277074,,,25690,,,30853,,,191266,,,330,,,,,,,,,,,,,,,14256,,,46648,,,1177,,,13420,,,1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M03,,,,,,,,,,,,,329777,,,33380,,,33234,,,231450,,,459,,,,,,,,,,,,,,,18786,,,61518,,,1760,,,10390,,,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M04,,,,,,,,,,,,,318899,,,37762,,,37729,,,238297,,,734,,,,,,,,,,,,,,,19586,,,73190,,,1932,,,12660,,,2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M05,,,,,,,,,,,,,380989,,,30667,,,43723,,,251414,,,910,,,,,,,,,,,,,,,23191,,,65946,,,2396,,,11320,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M06,,,,,,,,,,,,,337137,,,27508,,,37087,,,217176,,,446,,,,,,,,,,,,,,,23444,,,61512,,,2547,,,8530,,,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M07,,,,,,,,,,,,,400172,,,34900,,,42896,,,221610,,,584,,,,,,,,,,,,,,,26761,,,80381,,,2990,,,15990,,,3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M08,,,,,,,,,,,,,423883,,,38590,,,49532,,,325226,,,635,,,,,,,,,,,,,,,29705,,,72492,,,2398,,,13440,,,3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M09,,,,,,,,,,,,,348174,,,38255,,,39973,,,243979,,,584,,,,,,,,,,,,,,,18240,,,50427,,,2381,,,11480,,,2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M10,,,,,,,,,,,,,397809,,,37137,,,48270,,,282887,,,776,,,,,,,,,,,,,,,10965,,,51196,,,1280,,,13080,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M11,,,,,,,,,,,,,406225,,,28492,,,37905,,,285269,,,226,,,,,,,,,,,,,,,12813,,,67811,,,1015,,,12260,,,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M12,,,,,,,,,,,,,457913,,,24003,,,38135,,,286837,,,635,,,,,,,,,,,,,,,12728,,,79555,,,1656,,,13900,,,2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M01,6088,,,,,,,,,,,,454817,,,36398,,,33783,,,270457,,,468,,,,,,,,,50303,,,5985,,,19757,,,73210,,,1019,,,15400,,,1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M02,4356,,,,,,,,,,,,471528,,,33413,,,46477,,,299526,,,2041,,,,,,,,,81649,,,8993,,,15189,,,109352,,,1990,,,26200,,,2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M03,5008,,,,,,,,,,,,465230,,,41046,,,38929,,,303395,,,527,,,,,,,,,42728,,,5328,,,15667,,,58883,,,1976,,,12280,,,2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M04,5841,,,,,,,,,,,,525498,,,46367,,,41251,,,356031,,,633,,,,,,,,,63880,,,6052,,,17847,,,80829,,,2563,,,15080,,,3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M05,7042,,,,,,,,,,,,544163,,,37436,,,42326,,,356951,,,1324,,,,,,,,,56486,,,5586,,,21047,,,65299,,,2775,,,12630,,,2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M06,9956,,,,,,,,,,,,423763,,,25312,,,61256,,,284148,,,1029,,,,,,,,,41186,,,4602,,,21078,,,45062,,,2338,,,10530,,,3419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M07,12345,,,,,,,,,,,,565322,,,39051,,,38927,,,348945,,,1009,,,,,,,,,51147,,,6256,,,22608,,,55155,,,2069,,,19390,,,3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M08,12773,,,,,,,,,,,,659726,,,44025,,,50036,,,387631,,,810,,,,,,,,,62700,,,5696,,,25750,,,61226,,,2871,,,14980,,,3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M09,11059,,,,,,,,,,,,593509,,,44753,,,50592,,,337711,,,1090,,,,,,,,,47218,,,6390,,,19881,,,61252,,,3350,,,12880,,,3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M10,8212,,,,,,,,,,,,669828,,,44118,,,57501,,,381650,,,1626,,,,,,,,,57693,,,6012,,,17687,,,57347,,,3265,,,14720,,,3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M11,6905,,,,,,,,,,,,697841,,,33201,,,40036,,,445038,,,863,,,,,,,,,56422,,,7794,,,15624,,,63875,,,2408,,,17770,,,4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M12,6557,,,,,,,,,,,,753974,,,27300,,,38352,,,468963,,,672,,,,,,,,,58687,,,7840,,,13430,,,66486,,,3139,,,18160,,,3780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M01,6304,,,,,,,,,,,,750929,,,40824,,,35851,,,467520,,,1341,,,2894,,,,,,62455,,,7682,,,18005,,,72451,,,1172,,,20840,,,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M02,5042,,,,,,,,,,,,713489,,,41864,,,47062,,,416056,,,2074,,,3921,,,,,,89704,,,10080,,,13129,,,88319,,,2604,,,27030,,,2513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M03,4710,,,,,,,,,,,,666343,,,49676,,,40687,,,454710,,,751,,,3568,,,,,,54063,,,5776,,,10760,,,58323,,,1206,,,14260,,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M04,4815,,,,,,,,,,,,322216,,,42706,,,32852,,,298574,,,356,,,2598,,,,,,23002,,,4304,,,7035,,,23383,,,686,,,9480,,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M05,2932,,,,,,,,,,,,311821,,,11280,,,20759,,,270537,,,38,,,1763,,,,,,3994,,,1209,,,6441,,,6490,,,561,,,3100,,,665,,,2091,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M06,5248,,,,,,,,,,,,470562,,,12915,,,25213,,,367847,,,39,,,2368,,,,,,8405,,,1672,,,8610,,,10871,,,865,,,4520,,,707,,,2886,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M07,8536,,,,,,,,,,,,693008,,,28767,,,39023,,,449139,,,331,,,3450,,,,,,20989,,,3240,,,13404,,,26660,,,1610,,,11340,,,1233,,,5271,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M08,10974,,,,,,,,,,,,946122,,,46765,,,54971,,,586700,,,1904,,,5081,,,,,,52858,,,3859,,,19216,,,51270,,,2791,,,12130,,,2143,,,11786,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M09,8552,,,,,,,,,,,,762001,,,47303,,,54932,,,498570,,,1845,,,3338,,,,,,57716,,,5504,,,17011,,,58723,,,4364,,,14970,,,2977,,,15085,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M10,6815,,,,,,,,,,,,878581,,,51007,,,58477,,,591275,,,3457,,,2524,,,,,,56700,,,6004,,,14537,,,61576,,,4538,,,16670,,,2774,,,18506,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M11,5966,,,,,,,,,,,,930432,,,42929,,,51436,,,660727,,,1753,,,3336,,,,,,67542,,,6935,,,15281,,,75196,,,3403,,,19760,,,3378,,,16297,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003M12,6581,,,,,,,,,,,,1021707,,,32746,,,51505,,,680381,,,1132,,,3823,,,,,,71082,,,9724,,,13897,,,73373,,,2567,,,22040,,,3510,,,11244,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M01,5743,,,,,,,,,,,,1115151,,,59645,,,54966,,,737958,,,4297,,,4636,,,,,,79717,,,9225,,,18089,,,100933,,,4006,,,31210,,,2934,,,6353,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M02,4901,,,,,,,,,,,,824619,,,37906,,,42682,,,659774,,,829,,,3289,,,,,,50903,,,6405,,,14123,,,35791,,,2042,,,23390,,,2747,,,5455,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M03,5671,,,,,,,,,,,,979338,,,55370,,,44632,,,791789,,,913,,,3524,,,,,,53481,,,6321,,,16211,,,45729,,,2443,,,17540,,,3100,,,5894,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M04,6086,,,,,,,,,,,,908741,,,56782,,,52630,,,730128,,,1278,,,3949,,,,,,75069,,,6636,,,14953,,,71917,,,3130,,,17690,,,3057,,,11939,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M05,7723,,,,,,,,,,,,972837,,,47561,,,56581,,,812561,,,2638,,,4026,,,,,,70022,,,5724,,,16623,,,55895,,,3682,,,16220,,,2424,,,13940,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M06,9688,,,,,,,,,,,,867445,,,41477,,,49838,,,733729,,,1037,,,3382,,,,,,63025,,,4752,,,16847,,,45177,,,2459,,,13930,,,2059,,,17124,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M07,12022,,,,,,,,,,,,1160530,,,56512,,,54860,,,863387,,,1830,,,3558,,,,,,92653,,,6400,,,17876,,,66386,,,2389,,,26040,,,1876,,,19686,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M08,13885,,,,,,,,,,,,1238091,,,60316,,,60832,,,894651,,,1663,,,3556,,,,,,90215,,,5742,,,20460,,,57684,,,3498,,,17410,,,2021,,,21697,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M09,11658,,,,,,,,,,,,912723,,,58031,,,51000,,,735521,,,1490,,,3929,,,,,,62125,,,6400,,,17321,,,53612,,,2555,,,16370,,,2731,,,19458,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M10,10330,,,,,,,,,,,,1079392,,,56111,,,59731,,,876742,,,2430,,,4418,,,,,,70449,,,6867,,,17251,,,63536,,,3014,,,21390,,,3617,,,19267,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M11,7781,,,,,,,,,,,,1040982,,,47522,,,51569,,,854271,,,1099,,,3935,,,,,,88228,,,9471,,,16643,,,68789,,,2679,,,24150,,,4109,,,20048,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004M12,6395,,,,,,,,,,,,1146013,,,38776,,,47943,,,839228,,,1095,,,4123,,,,,,84392,,,10425,,,16147,,,64399,,,3013,,,24870,,,3543,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M01,6274,,,,,,793,,,,,,1065487,,,48412,,,44948,,,825411,,,146,,,3289,,,,,,45823,,,6786,,,21184,,,25378,,,1813,,,37780,,,2792,,,6270,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M02,5222,,,,,,688,,,,,,1041061,,,51101,,,56652,,,832337,,,202,,,7029,,,,,,61635,,,10098,,,17709,,,39505,,,3435,,,38480,,,2579,,,7030,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M03,5562,,,,,,828,,,,,,932243,,,50649,,,48761,,,827267,,,438,,,4286,,,,,,52264,,,4925,,,17679,,,41920,,,2175,,,17170,,,2438,,,6851,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M04,6997,,,,,,782,,,,,,987091,,,56321,,,55712,,,830672,,,631,,,4896,,,,,,68835,,,6864,,,18653,,,57669,,,2725,,,18720,,,3090,,,11994,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M05,8470,,,,,,848,,,,,,972313,,,50721,,,62090,,,871889,,,754,,,4689,,,,,,62873,,,5130,,,23201,,,47955,,,3720,,,15640,,,3015,,,14728,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M06,13309,,,,,,996,,,,,,885596,,,44086,,,54329,,,803006,,,726,,,4165,,,,,,61151,,,4826,,,23262,,,47708,,,3431,,,14120,,,2681,,,18453,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M07,14389,,,,,,1184,,,,,,1147076,,,60844,,,64390,,,913283,,,1515,,,4681,,,,,,93890,,,6552,,,26597,,,93518,,,3836,,,28560,,,2759,,,21648,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M08,14084,,,,,,850,,,,,,1221159,,,65026,,,71843,,,940109,,,1482,,,4806,,,,,,101134,,,6699,,,29024,,,112868,,,3727,,,20620,,,3196,,,23058,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M09,13287,,,,,,969,,,,,,925417,,,66216,,,64351,,,797131,,,1450,,,4909,,,,,,67061,,,6094,,,25234,,,79073,,,4081,,,17120,,,4578,,,20948,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M10,11891,,,,,,881,,,,,,1115023,,,61239,,,73367,,,962702,,,1824,,,5851,,,,,,74502,,,6693,,,25450,,,78888,,,3825,,,19310,,,4829,,,19414,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M11,9628,,,,,,841,,,,,,1070488,,,52670,,,58032,,,934132,,,1071,,,5280,,,,,,88707,,,11408,,,21265,,,80808,,,4867,,,29060,,,5726,,,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005M12,8377,,,,,,909,,,,,,1178446,,,45535,,,55768,,,925027,,,1370,,,5272,,,,,,79945,,,11775,,,21014,,,71502,,,4193,,,26150,,,4844,,,12057,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M01,6860,,,,,,623,,,,,,1324888,,,68854,,,55280,,,927727,,,2852,,,5927,,,,,,81734,,,8788,,,27032,,,91050,,,3342,,,32210,,,3280,,,7204,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M02,6038,,,,,,795,,,,,,1141391,,,55842,,,59902,,,1006275,,,1985,,,7544,,,,,,96562,,,8470,,,17549,,,89650,,,3004,,,35040,,,2887,,,8355,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M03,7120,,,,,,995,,,,,,1125564,,,70491,,,64902,,,1043761,,,1376,,,6090,,,,,,91092,,,7475,,,20507,,,98204,,,3408,,,21350,,,3151,,,8172,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M04,8799,,,,,,682,,,,,,1109401,,,73932,,,86031,,,990066,,,1479,,,6927,,,,,,97423,,,9724,,,24281,,,91946,,,3419,,,24180,,,4592,,,13918,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M05,12048,,,,,,848,,,,,,1045744,,,64298,,,73345,,,980710,,,2406,,,5050,,,,,,78594,,,7990,,,26202,,,74005,,,5193,,,19810,,,4884,,,15964,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M06,14596,,,,,,846,,,,,,959404,,,51243,,,67933,,,876916,,,1595,,,5082,,,,,,71213,,,5310,,,26193,,,70764,,,4943,,,16730,,,3656,,,18432,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M07,19452,,,,,,1205,,,,,,1196987,,,81476,,,83137,,,950338,,,2230,,,5792,,,,,,113127,,,7440,,,33874,,,88903,,,4481,,,31740,,,3892,,,21767,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M08,17541,,,,,,926,,,,,,1364825,,,81117,,,95039,,,1018955,,,2244,,,6527,,,,,,103459,,,7665,,,32440,,,84507,,,4264,,,22980,,,3806,,,19595,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M09,18701,,,,,,1042,,,,,,930532,,,75161,,,89708,,,917383,,,2262,,,7370,,,,,,63550,,,8106,,,32406,,,58038,,,5386,,,21440,,,6736,,,18913,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M10,13591,,,,,,1196,,,,,,1083361,,,76381,,,86015,,,1061697,,,3090,,,7376,,,,,,70690,,,8338,,,29735,,,49880,,,4765,,,23470,,,6456,,,19064,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M11,10153,,,,,,1377,,,,,,1043726,,,62997,,,73086,,,1069214,,,2382,,,7526,,,,,,88343,,,13618,,,26979,,,82163,,,5814,,,29420,,,7066,,,14939,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006M12,9702,,,,,,1526,,,,,,1265519,,,49883,,,62591,,,1142575,,,2495,,,9329,,,,,,81414,,,12792,,,23252,,,70007,,,5175,,,27200,,,4518,,,10357,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M01,7953,,,,,,932,,,,,,1210562,,,63093,,,56885,,,1155685,,,1855,,,8693,,,,,,76116,,,9576,,,32021,,,64494,,,3371,,,28110,,,3522,,,7077,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M02,7294,,,,,,837,,,,,,1481029,,,75246,,,76928,,,1238058,,,4591,,,12944,,,,,,111934,,,14927,,,24728,,,92237,,,4769,,,53620,,,3925,,,7746,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M03,7444,,,,,,1400,,,,,,1086645,,,84323,,,73847,,,1182882,,,1647,,,8978,,,,,,79239,,,8878,,,25958,,,59930,,,3960,,,31630,,,2876,,,6437,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M04,9216,,,,,,1218,,,,,,1089240,,,79778,,,83293,,,1141725,,,1981,,,10221,,,,,,99136,,,10925,,,27571,,,78385,,,6264,,,26560,,,4052,,,14483,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M05,12815,,,,,,1293,,,,,,1212715,,,70212,,,83845,,,1191167,,,3505,,,9432,,,,,,85198,,,7686,,,32712,,,66692,,,6046,,,19590,,,4107,,,13669,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M06,15806,,,,,,1375,,,,,,1019524,,,61800,,,78664,,,994683,,,2722,,,7417,,,,,,77239,,,6650,,,32585,,,62521,,,4825,,,19190,,,4454,,,17491,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M07,21048,,,,,,1909,,,,,,1390554,,,101370,,,95666,,,1180053,,,3159,,,7943,,,,,,108881,,,7728,,,43288,,,78142,,,5269,,,32930,,,5014,,,18256,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M08,18420,,,,,,1442,,,,,,1685555,,,99355,,,120504,,,1345288,,,3996,,,8614,,,,,,114463,,,9020,,,44194,,,80323,,,6041,,,29090,,,4566,,,22901,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M09,18362,,,,,,1724,,,,,,1136325,,,93068,,,105324,,,1221331,,,3450,,,8673,,,,,,76181,,,8234,,,40170,,,72430,,,6453,,,23360,,,6456,,,19571,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M10,13453,,,,,,1642,,,,,,1359194,,,91186,,,109810,,,1367321,,,4097,,,11459,,,,,,83831,,,9568,,,34510,,,75310,,,6180,,,25410,,,5663,,,19004,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M11,10225,,,,,,1750,,,,,,1291307,,,69597,,,93621,,,1401378,,,2302,,,11278,,,,,,103906,,,13896,,,31025,,,91479,,,6060,,,34760,,,6494,,,13575,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007M12,10164,,,,,,1967,,,,,,1523139,,,53411,,,90538,,,1446820,,,2671,,,12765,,,,,,97832,,,13716,,,28643,,,85174,,,4646,,,30360,,,5455,,,10913,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M01,9118,,,,,,1263,,,,,,1441667,,,84038,,,80677,,,1051338,,,2569,,,11009,,,,,,108486,,,10817,,,42741,,,84859,,,3351,,,35390,,,4200,,,7103,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M02,8852,,,,,,1339,,,,,,1442302,,,85134,,,109623,,,1062733,,,5638,,,17200,,,,,,121031,,,15433,,,31717,,,113990,,,5704,,,55920,,,4203,,,8437,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M03,8296,,,,,,1536,,,,,,1269673,,,90850,,,104662,,,1099150,,,2065,,,12402,,,,,,98180,,,10650,,,34930,,,89206,,,4743,,,29640,,,3967,,,8209,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M04,9987,,,,,,1925,,,,,,1305002,,,103013,,,97721,,,1037648,,,2408,,,11767,,,,,,107639,,,11352,,,37388,,,101631,,,5278,,,35330,,,4862,,,12418,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M05,14143,,,,,,1522,,,,,,1290806,,,74637,,,91110,,,1081184,,,3631,,,9804,,,,,,86785,,,8360,,,45299,,,81564,,,6223,,,23030,,,5971,,,17886,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M06,16433,,,,,,1220,,,,,,1145551,,,61355,,,75460,,,869485,,,3133,,,7604,,,,,,70565,,,5054,,,41029,,,61970,,,5172,,,17980,,,4614,,,13769,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M07,22656,,,,,,1827,,,30323,,,1660243,,,101192,,,101061,,,1054528,,,3903,,,8350,,,,,,105528,,,6816,,,50594,,,81417,,,5670,,,34370,,,3574,,,24034,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M08,18032,,,,,,1699,,,29281,,,1699309,,,92976,,,115042,,,964682,,,3440,,,8584,,,,,,91325,,,6446,,,55426,,,68860,,,4210,,,21830,,,2613,,,15013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M09,18793,,,,,,1501,,,33251,,,1249545,,,93921,,,112988,,,756698,,,4724,,,9995,,,,,,66582,,,5497,,,49184,,,34147,,,4704,,,19290,,,6389,,,15277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M10,13152,,,,,,1527,,,34780,,,1373910,,,86570,,,104710,,,891031,,,4286,,,10754,,,,,,76836,,,6552,,,37264,,,41020,,,5677,,,21130,,,5490,,,14957,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M11,9894,,,,,,2044,,,35238,,,1363167,,,73131,,,88916,,,886936,,,3101,,,10495,,,,,,79096,,,11462,,,33916,,,43987,,,6070,,,28890,,,4665,,,10413,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008M12,10571,,,,,,2500,,,35114,,,1620828,,,53599,,,85921,,,857758,,,2613,,,11662,,,,,,66689,,,13959,,,33470,,,24009,,,5080,,,31560,,,3686,,,8674,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M01,11116,,,,,,1483,,,43995,,,1892336,,,110262,,,93007,,,951395,,,5912,,,16893,,,,,,105144,,,14252,,,58378,,,57329,,,5436,,,54160,,,6005,,,7629,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M02,9333,,,,,,1823,,,42248,,,1345291,,,62981,,,127979,,,829436,,,2682,,,12067,,,,,,80037,,,12075,,,27692,,,53106,,,4169,,,46470,,,2362,,,5533,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M03,9612,,,,,,2108,,,87002,,,1438182,,,100951,,,111915,,,977479,,,2363,,,9508,,,,,,91275,,,11640,,,33123,,,79362,,,5601,,,33940,,,2409,,,8653,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M04,11025,,,,,,1512,,,131464,,,1406500,,,106816,,,107872,,,897335,,,3417,,,10204,,,,,,86525,,,10670,,,37288,,,70021,,,5974,,,30720,,,4361,,,14732,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M05,13090,,,,,,310,,,110244,,,1167230,,,60530,,,86392,,,791394,,,3706,,,7781,,,,,,52058,,,5616,,,32991,,,36425,,,6614,,,18700,,,2499,,,17114,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M06,15009,,,,,,676,,,57472,,,1012386,,,36597,,,77830,,,680894,,,3226,,,5695,,,,,,41650,,,2556,,,33737,,,35370,,,5547,,,14110,,,1620,,,13228,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M07,18745,,,,,,1031,,,70157,,,1432740,,,67944,,,107490,,,852167,,,5206,,,7987,,,,,,72326,,,4140,,,44867,,,47991,,,5969,,,30190,,,2129,,,16564,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M08,20151,,,,,,1245,,,80883,,,1855907,,,109017,,,160424,,,1050357,,,6197,,,10513,,,,,,86530,,,4578,,,74798,,,63700,,,5330,,,23020,,,3050,,,18644,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M09,19706,,,,,,1365,,,64386,,,1326110,,,98697,,,126793,,,878479,,,6141,,,10089,,,,,,59588,,,6342,,,56886,,,64231,,,5840,,,22630,,,4580,,,16101,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M10,13857,,,,,,1529,,,78175,,,1686686,,,108301,,,138898,,,1053497,,,10805,,,11904,,,,,,83273,,,7636,,,44277,,,83256,,,6588,,,26750,,,5407,,,17541,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M11,8868,,,,,,1796,,,113807,,,1544531,,,81462,,,102329,,,1016411,,,6286,,,12253,,,,,,90358,,,11063,,,38269,,,93030,,,6335,,,31210,,,3814,,,10051,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009M12,10321,,,,,,2342,,,92290,,,1848832,,,62527,,,101388,,,1010689,,,4725,,,13316,,,,,,87983,,,11691,,,42511,,,93687,,,5933,,,30790,,,3688,,,9389,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M01,9686,,,,,,1635,,,86891,,,1907827,,,92120,,,91252,,,1131660,,,6069,,,13472,,,,,,98918,,,9425,,,67351,,,106920,,,3627,,,36830,,,3803,,,5843,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M02,10239,,,,,,1575,,,107628,,,2009922,,,121494,,,140571,,,1145320,,,13345,,,20771,,,,,,143050,,,16975,,,51496,,,152717,,,6377,,,72940,,,7296,,,7675,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M03,10013,,,,,,2522,,,149617,,,1631163,,,123314,,,141457,,,1057395,,,6144,,,14698,,,,,,88031,,,9828,,,45323,,,74267,,,5702,,,35130,,,3193,,,8978,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M04,11160,,,,,,2234,,,180915,,,1660538,,,150788,,,147680,,,1052610,,,7060,,,14455,,,,,,91701,,,10272,,,49694,,,52859,,,5887,,,32220,,,4493,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M05,15111,,,,,,2358,,,179394,,,1713687,,,112558,,,154066,,,1135430,,,8964,,,11162,,,,,,71628,,,7740,,,60860,,,35833,,,7653,,,25910,,,5624,,,16537,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M06,20422,,,,,,1898,,,135603,,,1564062,,,103706,,,150119,,,985127,,,8615,,,9777,,,,,,69080,,,5500,,,66178,,,49110,,,6542,,,22820,,,5177,,,18518,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M07,28074,,,,,,2733,,,129160,,,2011837,,,164944,,,195188,,,1142017,,,12449,,,14306,,,,,,117775,,,8040,,,85850,,,90223,,,6124,,,47700,,,4477,,,22256,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M08,27806,,,,,,2683,,,118616,,,2369813,,,171503,,,241987,,,1263442,,,14998,,,15658,,,,,,130566,,,9746,,,111891,,,123591,,,6950,,,36790,,,4450,,,24076,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010M09,22807,,,,,,2174,,,105707,,,1626556,,,137333,,,176196,,,894807,,,13028,,,13530,,,,,,74434,,,7480,,,81222,,,100621,,,7543,,,29080,,,6601,,,22795,,,,,,,,,,,,,,,,,,,,,,,,,,,
